nome;cpf;senha;seguroDeVida
Caina Machado;12332145678;1234;null
Abner Joia;45639285695;4536;null
Giulia Arruda;43627581324;9976;null
Alessandro Felix;36254388698;6645;null
Camila Ferreira;35475628595;3334;null
Neymar Castro;45376535487;1153;null
Travis Mcdonald;66574532281;6453;null
Rihanna Kennedy;46375829345;5523;null
Thor Menta;49304523275;8334;null
Monica Moreira;99384723374;1134;null
Amine Biuke;33482495603;9485;null
Adele Smith;84735622374;9375;null
Maria Brand;34571808230;4910;null
Jorge Gomes;61801247190;1216;null
Augusto de Souza;11674934478;7359;null
Breno Listch;56143200715;2863;null
Mac Miller;33654867120;3412;null
Khalid Robison;24246116978;9824;null
Bill Gates;76532189065;5619;null
